id;recipient_mail;date;amount;description
1;Car support Hat;2020-12-04T00:05:55;77613;4th generation
2;open-source;2020-12-03T17:58:44;59300;Chips invoice e-services
3;Mission e-business SMS;2020-12-03T17:53:32;87634;Heights Versatile
4;Concrete;2020-12-04T05:22:20;97440;models Licensed
5;plum;2020-12-04T02:42:47;1851;payment Cambridgeshire
6;Guam;2020-12-03T22:53:20;12880;monitor Metal Malta
7;Personal Loan Account;2020-12-03T22:02:45;80998;Games
8;reboot transmitter Human;2020-12-03T14:24:53;9268;revolutionary Fantastic Puerto Rico
9;Home Loan Account auxiliary;2020-12-03T20:31:37;7155;International
10;open-source firewall;2020-12-03T17:09:43;42773;Berkshire Beauty
